City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,San Policarpo,PH,79.61,light rain,12.1791,125.5072,Agapita M. Nicart
1,Kismayo,SO,82.6,clear sky,-0.3582,42.5454,Agan-Hotel
2,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
3,Tura,IN,69.22,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
4,Cape Town,ZA,76.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
5,Namalenga,TZ,91.27,overcast clouds,-10.95,39.1,
6,Rikitea,PF,73.31,clear sky,-23.1203,-134.9692,People ThankYou
7,Port Elizabeth,ZA,70.09,light rain,-33.918,25.5701,39 On Nile Guest House
8,Hithadhoo,MV,82.92,scattered clouds,-0.6,73.0833,Scoop Guest House
9,Port Alfred,ZA,73.02,overcast clouds,-33.5906,26.891,The Halyards Hotel
10,Sinnamary,GF,83.64,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
11,Boyolangu,ID,78.03,overcast clouds,-8.1181,111.8935,Yos ega cv
12,Makakilo City,US,73.29,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
13,Vao,NC,70.75,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
14,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
15,Nushki,PK,67.41,clear sky,29.5542,66.0215,Shams hotel
16,East London,ZA,72.54,clear sky,-33.0153,27.9116,Tu Casa
17,Kruisfontein,ZA,76.82,light rain,-34.0033,24.7314,Oyster Bay House Rental
18,Kalabo,ZM,91.18,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
19,Mar Del Plata,AR,84.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
20,Umm Lajj,SA,85.68,clear sky,25.0213,37.2685,Moon light Furnished Units
21,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
22,Hilo,US,69.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
23,Avarua,CK,71.65,few clouds,-21.2078,-159.775,Paradise Inn
24,Miranda,CO,69.93,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
25,Pontal Do Parana,BR,77.2,overcast clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
26,Paracuru,BR,89.62,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
27,Kapaa,US,73.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Sidney,AU,72.7,clear sky,-33.8679,151.2073,The Grace Sydney
29,Cabo San Lucas,MX,70.14,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
30,Samarai,PG,82.08,broken clouds,-10.6167,150.6667,Nuli Sapi
31,Bredasdorp,ZA,74.52,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
32,Eyl,SO,82.6,clear sky,7.9803,49.8164,Amiin Hotel
33,Lata,PT,74.48,overcast clouds,40.1629,-8.3327,Casa Maquia
34,Boueni,YT,84.18,light rain,-12.9025,45.0761,The feet in water
35,Adrar,MR,87.17,overcast clouds,20.5022,-10.0711,
36,Butaritari,KI,82.22,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
37,Carnarvon,AU,66.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
