City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2021-10-25 22:07:34,-21.2,-175.2,78.96,78,20,10.36
1,Nanortalik,GL,2021-10-25 22:11:19,60.1432,-45.2371,33.76,60,27,7.65
2,Nikolskoye,RU,2021-10-25 22:11:19,59.7035,30.7861,46.87,85,99,9.57
3,Chokurdakh,RU,2021-10-25 22:06:57,70.6333,147.9167,-23.42,100,97,1.77
4,Hithadhoo,MV,2021-10-25 22:11:20,-0.6,73.0833,83.03,71,87,16.71
5,Rikitea,PF,2021-10-25 22:11:20,-23.1203,-134.9692,75.22,72,86,20.02
6,Fort Nelson,CA,2021-10-25 22:08:22,58.8053,-122.7002,29.79,100,90,0.0
7,Develi,TR,2021-10-25 22:11:21,38.3906,35.4922,33.15,83,34,1.66
8,Nanma,CN,2021-10-25 22:11:21,36.1817,118.1583,50.43,70,100,3.42
9,Bredasdorp,ZA,2021-10-25 22:11:21,-34.5322,20.0403,60.28,90,21,11.18
10,Esperance,AU,2021-10-25 22:10:40,-33.8667,121.9,55.27,71,63,6.29
11,Ilulissat,GL,2021-10-25 22:11:22,69.2167,-51.1,15.82,67,0,1.14
12,Tasiilaq,GL,2021-10-25 22:11:22,65.6145,-37.6368,33.96,83,100,9.26
13,Horta,PT,2021-10-25 22:11:23,38.5333,-28.6333,67.03,77,62,17.27
14,Tuatapere,NZ,2021-10-25 22:11:23,-46.1333,167.6833,57.6,92,84,1.74
15,Lebu,CL,2021-10-25 22:11:23,-37.6167,-73.65,54.95,84,7,13.67
16,Colares,PT,2021-10-25 22:11:24,38.7992,-9.4469,62.33,72,0,10.0
17,Tiksi,RU,2021-10-25 22:11:24,71.6872,128.8694,2.41,96,98,5.03
18,Saskylakh,RU,2021-10-25 22:11:24,71.9167,114.0833,-1.98,97,100,2.66
19,Zhigansk,RU,2021-10-25 22:08:54,66.7697,123.3711,22.39,96,100,10.76
20,Bilma,NE,2021-10-25 22:11:25,18.6853,12.9164,81.81,15,0,4.16
21,Carnarvon,AU,2021-10-25 22:11:25,-24.8667,113.6333,62.67,72,90,21.85
22,Busselton,AU,2021-10-25 22:11:25,-33.65,115.3333,41.04,78,100,1.83
23,Bannu,PK,2021-10-25 22:11:25,32.9854,70.6027,66.76,42,0,0.2
24,Kodiak,US,2021-10-25 22:11:26,57.79,-152.4072,44.11,70,75,12.66
25,Mao,ES,2021-10-25 22:11:26,39.8885,4.2658,59.56,88,20,4.61
26,Shunyi,CN,2021-10-25 22:11:26,40.125,116.6453,51.84,87,94,4.47
27,Butaritari,KI,2021-10-25 22:11:27,3.0707,172.7902,81.52,75,7,7.45
28,Cherskiy,RU,2021-10-25 22:07:25,68.75,161.3,-11.16,96,99,2.13
29,Kavaratti,IN,2021-10-25 22:11:27,10.5669,72.642,82.22,74,44,14.18
30,Tual,ID,2021-10-25 22:11:27,-5.6667,132.75,83.08,75,36,7.72
